'108037', '36', '/moviedb/main?movieId=108037', '마약왕', 5.5, '2018.12.19'
'107638', '37', '/moviedb/main?movieId=107638', '쥬만지: 새로운 세계', 7.4, '2018.01.03'
'110097', '38', '/moviedb/main?movieId=110097', '창궐', 5.5, '2018.10.25'
'118313', '39', '/moviedb/main?movieId=118313', '성난황소', 6.3, '2018.11.22'
'118159', '40', '/moviedb/main?movieId=118159', '도어락', 6.3, '2018.12.05'
'106307', '41', '/moviedb/main?movieId=106307', '리틀 포레스트', 8.4, '2018.02.28'
'108886', '42', '/moviedb/main?movieId=108886', '골든슬럼버', 5.2, '2018.02.14'
'108275', '43', '/moviedb/main?movieId=108275', '램페이지', 6.7, '2018.04.12'
'95501', '44', '/moviedb/main?movieId=95501', '궁합', 6.4, '2018.02.28'
'108442', '45', '/moviedb/main?movieId=108442', '오션스8', 6.8, '2018.06.13'
'111294', '46', '/moviedb/main?movieId=111294', '사라진 밤', 6.9, '2018.03.07'
'112060', '47', '/moviedb/main?movieId=112060', '스윙키즈', 8.5, '2018.12.19'
'110548', '48', '/moviedb/main?movieId=110548', '바람 바람 바람', 6.3, '2018.04.05'
'114542', '49', '/moviedb/main?movieId=114542', 'PMC: 더 벙커', 5.3, '2018.12.26'
'111384', '50', '/moviedb/main?movieId=111384', '범블비', 7.5, '2018.12.25'
